,fileName,label,user
0,0108923.jpg,L10,psc
1,0146785.jpg,L10,psc
2,0003595.jpg,00,psc
3,0158245.jpg,R10,psc
4,0138901.jpg,R10,psc
5,0073319.jpg,L01,psc
6,0115081.jpg,L11,psc
7,0056233.jpg,R10,psc
8,0174919.jpg,00,psc
9,0086793.jpg,00,psc
10,0035812.jpg,R01,psc
11,0048760.jpg,L01,psc
12,0090139.jpg,L10,psc
13,0117830.jpg,R10,psc
14,0122643.jpg,L10,psc
15,0095203.jpg,L10,psc
16,0065698.jpg,R01,psc
17,0172998.jpg,00,psc
18,0089549.jpg,R10,psc
19,0015686.jpg,L10,psc
20,0087809.jpg,R10,psc
21,0176786.jpg,L11,psc
22,0102297.jpg,R10,psc
23,0114355.jpg,L11,psc
24,0058464.jpg,00,psc
25,0027449.jpg,00,psc
26,0167302.jpg,R01,psc
27,0064778.jpg,00,psc
28,0061982.jpg,00,psc
29,0099976.jpg,00,psc
30,0033771.jpg,00,psc
31,0171335.jpg,R11,psc
32,0115588.jpg,00,psc
33,0087425.jpg,00,psc
34,0127539.jpg,L10,psc
35,0138135.jpg,L11,psc
36,0151043.jpg,R01,psc
37,0153257.jpg,00,psc
38,0111350.jpg,R10,psc
39,0110036.jpg,L11,psc
40,0004443.jpg,00,psc
41,0149481.jpg,R10,psc
42,0163942.jpg,L01,psc
43,0003275.jpg,L10,psc
44,0169846.jpg,L10,psc
45,0175408.jpg,L10,psc
46,0126059.jpg,R10,psc
47,0163466.jpg,R01,psc
48,0076176.jpg,R10,psc
49,0056243.jpg,R11,psc
50,0074207.jpg,00,psc
51,0090300.jpg,R10,psc
52,0112153.jpg,L11,psc
53,0016083.jpg,L01,psc
54,0183666.jpg,L01,psc
55,0092665.jpg,R11,psc
56,0181015.jpg,L01,psc
57,0164140.jpg,R10,psc
58,0086980.jpg,L01,psc
59,0138580.jpg,L01,psc
60,0027987.jpg,R10,psc
61,0018899.jpg,00,psc
62,0120830.jpg,L11,psc
63,0061477.jpg,L10,psc
64,0038248.jpg,L11,psc
65,0181769.jpg,L10,psc
66,0102037.jpg,L11,psc
67,0176674.jpg,R10,psc
68,0126875.jpg,R10,psc
69,0056557.jpg,L10,psc
70,0143891.jpg,L01,psc
71,0055541.jpg,L11,psc
72,0024910.jpg,R11,psc
73,0146539.jpg,R10,psc
74,0189246.jpg,R10,psc
75,0135009.jpg,R01,psc
76,0160246.jpg,00,psc
77,0078783.jpg,R10,psc
78,0043188.jpg,00,psc
79,0118862.jpg,00,psc
80,0171204.jpg,00,psc
81,0031087.jpg,R10,psc
82,0140987.jpg,L11,psc
83,0131891.jpg,R10,psc
84,0178644.jpg,R11,psc
85,0186488.jpg,00,psc
86,0128319.jpg,00,psc
87,0129804.jpg,00,psc
